"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"UNC1017","Women in Technology leadership roundtable","","","Foundational (100)","Not Product Specific
","Sarah Haase
","U.S. Bank
","women in technology leadership roundtable"
"BRK1043","Making the most of out-of-box approvals in SharePoint Online","","","Foundational (100)","Power Platform	Microsoft Flow
Power Platform
","Laura Rogers
","IW Mentor
","making the most of out-of-box approvals in sharepoint online"
"THR1063","Travel the world, meet the community","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Elaiza Benitez
","Independent Consultant
","travel the world, meet the community"
"UNC1020","Tactics for learning Azure PowerShell","","","Foundational (100)","Azure	Management and Governance
Azure
Azure	DevOps 
","Aleksandar Nikolic
","M.O.3.A.K. IT Consulting
","tactics for learning azure powershell"
"UNC1035","Enabling human-centric computing with Microsoft technologies, today","","","Foundational (100)","Azure	AI + Machine Learning
Azure
Azure	Mixed Reality
","Andreas Erben
","daenet
","enabling human-centric computing with microsoft technologies, today"
"THR2091","Master sharing and permissions of Office 365 in 20 minutes","","","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Identity and Access Management
","Benjamin Niaulin
","ShareGate
","master sharing and permissions of office 365 in 20 minutes"
"THR2016","Outlook for Windows: What's new and what's next","Intelligence","Session","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Identity and Access Management
Microsoft 365	Task Management
Microsoft 365	Operating System 
Microsoft 365	Information Protection
Microsoft 365	Applications
Microsoft 365	Advanced Compliance
Microsoft 365	Threat Protection
Microsoft 365	Meetings and Voice
Microsoft 365	Email and Calendar
Microsoft 365	Files and Content
Microsoft 365	Device and Application Management
Microsoft 365	Social and Intranet
Microsoft 365	Advanced Analytics
","David Gorelik
","Microsoft
","outlook for windows: what's new and what's next"
"BRK2012","What’s new in security for Azure SQL","Data","Session","Intermediate (200)","Azure	Databases
Azure
Azure	Networking
Azure	Security
","Jakub Szymaszek
","Microsoft
","what’s new in security for azure sql"
"BRK2015","Introducing Form Recognizer for AI driven information extraction from forms","Intelligence","Customer Showcase","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Neta Haiby
Aaron Reich
Ajoy Krishnamoorthy
","Microsoft
Avanade
Acumatica
","introducing form recognizer for ai driven information extraction from forms"
"UNC1042","Building your tech community at home","","","Foundational (100)","Microsoft 365	Device and Application Management
Microsoft 365
","Greg Ramsey
","Dell Technologies
","building your tech community at home"
"UNC1028","Idea swap: Using Microsoft 365 Learning Pathways to improve user adoption","Citizen Dev","Session","Foundational (100)","Not Product Specific
","Darrell Webster
Daniel Glenn
","Datacom
InfoWorks, Inc.
","idea swap: using microsoft 365 learning pathways to improve user adoption"
"BRK2176","Learn how FastTrack can help to securely deploy Microsoft 365","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
Microsoft 365	Information Protection
Microsoft 365	Security Management
Microsoft 365	Threat Protection
","Jennifer Burdett
","Microsoft
","learn how fasttrack can help to securely deploy microsoft 365"
"BRK003","Azure AI: Powering new possibilities for every organization","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
","Eric Boyd
","Microsoft
","azure ai: powering new possibilities for every organization"
"THR4001","Automate your tasks with Project, Planner, and Microsoft Flow","Productivity","Session","Expert (400)","Microsoft 365	Task Management
Microsoft 365
","Monika Dragulski
Jackie Duong
","Microsoft
Microsoft
","automate your tasks with project, planner, and microsoft flow"
"BRK3322","The Modern Windows Command-Line: Windows Subsystem for Linux 2","Citizen Dev","Session","Advanced (300)","","Craig Loewen
Sven Groot
","Microsoft
Microsoft
","the modern windows command-line: windows subsystem for linux 2"
"UNC1032","Microsoft 365 adoption vs consumption: Is there a difference & what are the feedback | reporting mechanisms we could be using to measure success?","","","Foundational (100)","Not Product Specific
","Tracy Van der Schyff
","The Guid Stuff
","microsoft 365 adoption vs consumption: is there a difference & what are the feedback | reporting mechanisms we could be using to measure success?"
"THR2107","Ten Microsoft Teams tips and tricks that empower everyone","","","Intermediate (200)","","Alison Oberg
","Microsoft Corporation
","ten microsoft teams tips and tricks that empower everyone"
"BRK3056","Quickly identify and remediate corporate code-of-conduct policy violations","Compliance","Session","Advanced (300)","","Christophe Fiessinger
","Microsoft
","quickly identify and remediate corporate code-of-conduct policy violations"
"THR3069","Tips and tricks for branding your SharePoint sites","Productivity","","Advanced (300)","","Denise Trabona
","Microsoft
","tips and tricks for branding your sharepoint sites"
"BRK3007","Securing your SharePoint and OneDrive content with access policies and labels","","","Advanced (300)","","Sanjoyan Mustafi
Sesha Mani
","Microsoft
Microsoft
","securing your sharepoint and onedrive content with access policies and labels"
"THR2030","How to use analytics to  drive your Microsoft 365 adoption","Management","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
Microsoft 365	Applications
Microsoft 365	Device and Application Management
","Pranoy Chaudhuri
","Microsoft
","how to use analytics to  drive your microsoft 365 adoption"
"BRK3063","Building enterprise capable serverless applications","Development","Session","Advanced (300)","Azure	Containers
Azure
Azure	Developer Tools
Azure	Integration
Azure	Web
","Eduardo Laureano
Matthew Henderson
","Microsoft
Microsoft
","building enterprise capable serverless applications"
"THR3028","macOS device management with Microsoft Intune","Devices","Session","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Device and Application Management
Microsoft 365	Files and Content
Microsoft 365	Information Protection
Microsoft 365	Operating System 
Microsoft 365	Security Management
Microsoft 365	Threat Protection
","Neil Johnson
Andy Cerat
","Microsoft
Microsoft
","macos device management with microsoft intune"
"BRK3076","Ask the experts: Modern deployment and device management","","","Advanced (300)","","Michael Niehaus
Narkis Engler
Steve DiAcetis
Suma SaganeGowda
Zachary Dvorak
John Wilcox
Thomas Trombley
David James
Chasity Westwater
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
MICROSOFT
Microsoft

KeyBank
","ask the experts: modern deployment and device management"
"BRK4010","Windows security internals: Containers for the win","Security","Session","Expert (400)","Microsoft 365	Operating System 
Microsoft 365
Microsoft 365	Security Management
Microsoft 365	Threat Protection
","Chris Jackson
","Microsoft
","windows security internals: containers for the win"
"BRK1027","From battlefield to breaking barriers: My journey from the US Marines to a career in tech","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Iasia Brown
","Microsoft
","from battlefield to breaking barriers: my journey from the us marines to a career in tech"
"BRK3109","Govern your workforce and guest user access with Azure Active Directory","Security","Session","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Joseph Dadzie
Mark Wahl
","Microsoft Corporation
Microsoft Corporation
","govern your workforce and guest user access with azure active directory"
"BRK2132","How Microsoft uses Azure Active Directory Identity Protection and Conditional Access to protect its assets","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
","Caleb Baker
Sarah Handler
Sarah Scott
","Microsoft
Microsoft
Microsoft
","how microsoft uses azure active directory identity protection and conditional access to protect its assets"
"COMP40","E-discovery and Audit: Harnessing intelligent and end-to-end solutions to improve results and lower costs​","Productivity","Session","Advanced (300)","","Cathy Yang
Iram Arras
Atanu Banerjee
","Microsoft
Microsoft
Microsoft
","e-discovery and audit: harnessing intelligent and end-to-end solutions to improve results and lower costs​"
"TMS20","Intelligent communications in Microsoft Teams","Productivity","Session","Intermediate (200)","","James Skay
Paul Cannon
","Microsoft
Microsoft
","intelligent communications in microsoft teams"
"TMS50","Streamline business processes with the Microsoft Teams development platform","","Session","Intermediate (200)","","Karan Nigam
Zakiullah Khan Mohammed
Nicholas Gill
","Microsoft
Microsoft
American Red Cross
","streamline business processes with the microsoft teams development platform"
"BRK3244","Azure Guest Configuration, the evolution of Group Policy","Infrastructure","Session","Advanced (300)","Azure	Compute
Azure
","Michael Greene
","Microsoft
","azure guest configuration, the evolution of group policy"
"BRK3257","Leverage the cloud to strengthen your on-premises Active Directory security","Infrastructure","Session","Advanced (300)","Azure	Compute
Azure
","Charity Shelbourne
Mark Morowczynski
","Microsoft
Microsoft
","leverage the cloud to strengthen your on-premises active directory security"
"BRK3187","Manage your cloud security posture and monitor compliance with Azure Security Center","Security","Customer Showcase","Advanced (300)","Azure	Security
Azure
","George Mudie
Yoav Daniely
","ASOS.com
Microsoft
","manage your cloud security posture and monitor compliance with azure security center"
"BRK1082","Dynamics 365 customer success stories: Implementation best practices with Dynamics 365 Finance and Operations and Customer Engagement customers","Customer Success","Panel Discussion","Foundational (100)","Dynamics 365	Customer Service
Dynamics 365
Dynamics 365	Retail and Commerce
Dynamics 365	Customer Engagement
Dynamics 365	Field Service
Dynamics 365	Sales
Dynamics 365	Marketing
Dynamics 365	Finance and Operations
Dynamics 365	Business Central
Dynamics 365	Talent
Dynamics 365	Project Service Automation
Dynamics 365	Supply Chain Management
Dynamics 365	Product Visualize
Dynamics 365	Customer Service Insights
Dynamics 365	Customer Insights
Dynamics 365	Virtual Agent for Customer Service
Dynamics 365	Sales Insights
Dynamics 365	Market Insights
Dynamics 365	Fraud Protection
Dynamics 365	Remote Assist
Dynamics 365	Guides
Dynamics 365	Portals
Dynamics 365	Layout
Dynamics 365	Forms Pro
","Darren Liu
Dana Bourque
Arvind Sahu
Sigita Cepaitiene
","Microsoft
Microsoft
BlueCrest Inc.
Microsoft
","dynamics 365 customer success stories: implementation best practices with dynamics 365 finance and operations and customer engagement customers"
"BRK3190","Analyze, manage, and optimize your cloud cost with Azure Cost Management","Management","Customer Showcase","Advanced (300)","Azure	Management and Governance
Azure
","Raphael Chacko
Jim Bragg
","Microsoft
MARS
","analyze, manage, and optimize your cloud cost with azure cost management"
"BRK3133","Customizing images made easy for Windows & Linux on Azure with Azure Image Builder Service and Shared Image Gallery","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
","Daniel Sol
","Microsoft
","customizing images made easy for windows & linux on azure with azure image builder service and shared image gallery"
"BRK3170","Building & Managing distributed micro-perimeters with Azure Firewall","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
Azure	Security
","Yair Tor
","Microsoft
","building & managing distributed micro-perimeters with azure firewall"
"THR2190","Dynamics 365 : Migration to Unified Interface - Best Practices and Unlocking New Experiences","Deployment","Session","Intermediate (200)","Dynamics 365	Sales
Dynamics 365
Dynamics 365	Marketing
Dynamics 365	Customer Service
Dynamics 365	Field Service
Dynamics 365	Customer Engagement
Dynamics 365	Business Central
Dynamics 365	Talent
Dynamics 365	Project Service Automation
Dynamics 365	Supply Chain Management
Dynamics 365	Product Visualize
Dynamics 365	Customer Service Insights
Dynamics 365	Customer Insights
Dynamics 365	Virtual Agent for Customer Service
Dynamics 365	Sales Insights
Dynamics 365	Market Insights
Dynamics 365	Fraud Protection
Dynamics 365	Remote Assist
Dynamics 365	Guides
Dynamics 365	Portals
Dynamics 365	Layout
Dynamics 365	Forms Pro
","Nikita Polyakov
","Microsoft
","dynamics 365 : migration to unified interface - best practices and unlocking new experiences"
"THR2185","Moving from Dynamics 365 on-premises to online","Deployment","Session","Intermediate (200)","Dynamics 365	Sales
Dynamics 365
Dynamics 365	Marketing
Dynamics 365	Customer Service
Dynamics 365	Field Service
Dynamics 365	Customer Engagement
Dynamics 365	Project Service Automation
","Marty Carreras
Jason Kim
","Microsoft
Microsoft
","moving from dynamics 365 on-premises to online"
"MOD20","Moving your database to Azure","Data","Session","Advanced (300)","Azure	Migration
Azure
Azure	Databases
","Laurent Bugnion
","Microsoft
","moving your database to azure"
"OPS10","Building the foundation for modern ops: Monitoring","Infrastructure","Session","Advanced (300)","Azure	DevOps 
Azure
","David Blank-Edelman
","Microsoft
","building the foundation for modern ops: monitoring"
"AIML50","Machine learning operations: Applying DevOps to data science","Tooling","Session","Advanced (300)","Azure	AI + Machine Learning
Azure
Azure	DevOps 
","Damian Brady
","Microsoft
","machine learning operations: applying devops to data science"
"THR3086","NBD: Training ML models with Microsoft Graph data connect ","Development","Session","Advanced (300)","","Abram Jackson
Tyler Lenig
","Microsoft
Microsoft
","nbd: training ml models with microsoft graph data connect"
"VCE10","Calling in Microsoft Teams","Productivity","Session","Intermediate (200)","Microsoft 365	Meetings and Voice
Microsoft 365
","Paul Cannon
","Microsoft
","calling in microsoft teams"
"VCE20","Updates for Direct Routing","Productivity","Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Paul Cannon
Nikolay Muravlyannikov
","Microsoft
Microsoft
","updates for direct routing"
"THR3082","Protect against phishing and other cyberthreats with Microsoft 365 Business","Security","","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
Microsoft 365	Email and Calendar
Microsoft 365	Files and Content
Microsoft 365	Identity and Access Management
Microsoft 365	Information Protection
Microsoft 365	Security Management
Microsoft 365	Social and Intranet
Microsoft 365	Threat Protection
","David Bjurman-Birr
","Microsoft
","protect against phishing and other cyberthreats with microsoft 365 business"
"BRK1053","Microsoft Certification 101","Thought Leadership","Exam Prep","Foundational (100)","Not Product Specific
","Sudarshan Krishnamurthi
Andrew Page
","Microsoft
Lloyds Banking Group
","microsoft certification 101"
"THR2118","Building a PowerShell module with Azure Automation","Tooling","Partner Led Session","Intermediate (200)","Azure	Integration
Azure
Azure	DevOps 
Azure	Compute
Azure	Analytics
Azure	Databases
Azure	Identity
Azure	Internet of Things
Azure	Blockchain
Azure	Media
Azure	Developer Tools
Azure	Management and Governance
Azure	Containers
Azure	AI + Machine Learning
Azure	Mobile
Azure	Web
Azure	Microsoft Azure Stack
Azure	Security
Azure	Storage
Azure	Networking
Azure	Mixed Reality
Azure	Migration
","Jaap Brasser
","Rubrik
","building a powershell module with azure automation"
"THR1088","Empower care teams with new healthcare capabilities in Microsoft Teams","Productivity","Session","Foundational (100)","Microsoft 365	Meetings and Voice
Microsoft 365
","David Newman
Michael W. Lam
","Microsoft
Microsoft
","empower care teams with new healthcare capabilities in microsoft teams"
"THR1067","Microsoft Teams on your phone: Tips, tricks, and what makes it unique","Productivity","Session","Foundational (100)","Microsoft 365	Meetings and Voice
Microsoft 365
","Marissa Salazar
Arvind Muthukrishnan
","Microsoft
Microsoft
","microsoft teams on your phone: tips, tricks, and what makes it unique"
"BRK2282","Introducing Robotic Process Automation (RPA) with Microsoft Power Automate: The End of swivel-chair automation.","Citizen Dev","Customer Showcase","Intermediate (200)","Power Platform	Microsoft Flow
Power Platform
","Debraj Ghosh
Ashvini Sharma
Takashi Yano
","Microsoft
Microsoft
Aioi Nissay Dowa Insurance Co., Ltd.
","introducing robotic process automation (rpa) with microsoft power automate: the end of swivel-chair automation."
"BRK3219","iOS and iPadOS device management with Microsoft Intune","Management","Session","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
","Tiffany Silverstein
Andy Cerat
","Intune - Mobile Device Management
Microsoft
","ios and ipados device management with microsoft intune"
"BRK3209","PaaSport to paradise: Lifting and shifting with Azure SQL Database + SSIS in Azure Data Factory","Data","Session","Advanced (300)","Azure	Databases
Azure
","Sandy Winarko
","Microsoft
","paasport to paradise: lifting and shifting with azure sql database + ssis in azure data factory"
"BRK1077","Streamline your business processes with Microsoft Teams and the Microsoft Power Platform","Productivity","Session","Foundational (100)","Microsoft 365	Advanced Analytics
Microsoft 365
Microsoft 365	Meetings and Voice
","Pete Daderko
Nathan Backers
Evan Chaki
Richard French
","Microsoft
Telstra
Microsoft
Telstra
","streamline your business processes with microsoft teams and the microsoft power platform"
"THR2172","Tailoring Microsoft Teams and delegating administration in Office 365","Productivity","Partner Led Session","Intermediate (200)","Azure	Management and Governance
Azure
","John Peluso
","AvePoint Public Sector Inc.
","tailoring microsoft teams and delegating administration in office 365"
"BRK2250","Lessons on operational resilience: Outcomes from Microsoft Defense and Response Team (DART) customer engagements to help organizations become operationally resilient to cyberthreats","Security","Panel Discussion","Intermediate (200)","","Ann Johnson
Anthony Souza
Payal Thakkar
Conan Sandberg
Chad Holmes
","CVP, Cybersecurity
Duke Energy
Ersnt & Young
UHG/Optum
Optiv
","lessons on operational resilience: outcomes from microsoft defense and response team (dart) customer engagements to help organizations become operationally resilient to cyberthreats"
"WRK3008","Getting started with co-management workloads","Security","Hands-on Lab","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
","Santos Martinez
","Microsoft
","getting started with co-management workloads"
"THR2160","Event-based automation across hybrid environments using PowerShell in Azure Functions","Development","Session","Intermediate (200)","","Eamon O'Reilly
","Microsoft
","event-based automation across hybrid environments using powershell in azure functions"
"THR2175","Using HPC Cache to reduce latency","Infrastructure","Session","Intermediate (200)","Azure	Microsoft Azure Stack
Azure
","Scott Jeschonek
","Microsoft
","using hpc cache to reduce latency"
"THR3132","CANCELED: Search and find content across 100 languages","Intelligence","Session","Advanced (300)","Azure	AI + Machine Learning
Azure
","Liam Cavanagh
","Microsoft
","canceled: search and find content across 100 languages"
"THR2167","How Microsoft does DevOps","Tooling","Session","Intermediate (200)","","Martin Woodward
Alessandro Segala
","Microsoft
Microsoft
","how microsoft does devops"
"THR3121","Building your own deployer machine","Tooling","Session","Advanced (300)","","Martin Woodward
Divya Vashnavi
","Microsoft
Microsoft
","building your own deployer machine"
"THR2142","H&M's quest of bringing world-class developer experience with Azure and DevOps","Development","Customer Showcase","Intermediate (200)","Azure	DevOps 
Azure
","Mikael Sjödin
Jakob Knutsson
","H&M
H&M
","h&m's quest of bringing world-class developer experience with azure and devops"
"WRK3010R","Deploying Microsoft Information Protection technologies to protect sensitive data: Azure Information Protection (AIP) (Repeat)","Security","Hands-on Lab","Advanced (300)","Microsoft 365	Security Management
Microsoft 365
","Kevin McKinnerney
","Microsoft
","deploying microsoft information protection technologies to protect sensitive data: azure information protection (aip) (repeat)"
"BRK2204","Business process integration for Dynamics 365 Finance and Operations: What's new and planned","Fundamentals","Session","Intermediate (200)","Dynamics 365	Finance and Operations
Dynamics 365
","Sunil Garg
Chris Garty
","Microsoft
Microsoft
","business process integration for dynamics 365 finance and operations: what's new and planned"
"BRK1078","Being a social developer","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Scott Hanselman
","MICROSOFT
","being a social developer"
"WRK3024R","Use the cloud to configure group policy on Windows 10 devices with ADMX templates and Microsoft Intune (Repeat)","Management","Hands-on Lab","Advanced (300)","Microsoft 365	Operating System 
Microsoft 365
","Mandi Ohlinger
","Microsoft
","use the cloud to configure group policy on windows 10 devices with admx templates and microsoft intune (repeat)"
"WRK3027","Meeting security and governance requirements with Microsoft Teams","Compliance","Hands-on Lab","Advanced (300)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Applications
Microsoft 365	Information Protection
Microsoft 365	Meetings and Voice
Microsoft 365	Security Management
","Jeff Beckham
Chris L'Hommedieu
","Microsoft
Microsoft
","meeting security and governance requirements with microsoft teams"
"DATA50","Azure SQL Data Warehouse: Query performance tuning","Data","Session","Advanced (300)","Azure	Analytics
Azure
Azure	Databases
","Chris Testa-O'Neill
","Microsoft
","azure sql data warehouse: query performance tuning"
"BRK2386","A Cloud Native Approach to Securing Applications built with IaaS and PaaS","Security","Partner Led Session","Intermediate (200)","Azure	Migration
Azure
Azure	Security
Azure	Containers
Azure	Databases
Azure	Analytics
Azure	Networking
Azure	Developer Tools
","Jonathan Bregman
kasiviswanathan annamalai
","Palo Alto Networks
paloaltonetworks.com
","a cloud native approach to securing applications built with iaas and paas"
"BRK1102","EXAM PREP: MB-900 | Microsoft Dynamics 365 Fundamentals","Citizen Dev","Exam Prep","Foundational (100)","","SARAH JELINEK
","Arctic IT
","exam prep: mb-900 | microsoft dynamics 365 fundamentals"
"BRK2247","Configure, don’t create: How Microsoft automated its own complex business processes with Dynamics 365 and AI","How Microsoft transforms IT internally","Session","Intermediate (200)","Azure	Storage
Azure
Azure	Databases
Azure	Analytics
Azure	Integration
Azure	Microsoft Azure Stack
Azure	Migration
Dynamics 365	Customer Service
Dynamics 365
Power Platform
Power Platform	PowerApps
Power Platform	Power BI
Power Platform	Microsoft Flow
Power Platform	Power BI Embedded
Azure	AI + Machine Learning
","Emilie Hunt
Shashi Lanka
","CSEO
Microsoft
","configure, don’t create: how microsoft automated its own complex business processes with dynamics 365 and ai"
"THR2228","Show and tell: How Microsoft uses Power Automate to empower its own employees to do more","Management","Session","Intermediate (200)","Power Platform	Microsoft Flow
Power Platform
","Keith Kinnan
","Microsoft
","show and tell: how microsoft uses power automate to empower its own employees to do more"
"THR2242","Boost your SAP on Azure instance with Azure telemetry tools","How Microsoft transforms IT internally","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
Azure	Migration
","Hans Reutter
","Microsoft
","boost your sap on azure instance with azure telemetry tools"
"THR2276","What's new in knowledge management","Productivity","Session","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Social and Intranet
","Naomi Moneypenny
Jeremy Chapman
","Microsoft
Microsoft
","what's new in knowledge management"
"THR2277","Windows Virtual Desktop updates","Infrastructure","Session","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Device and Application Management
Microsoft 365	Meetings and Voice
","Jeremy Chapman
Scott Manchester
","Microsoft
Microsoft
","windows virtual desktop updates"
"THR2279","Microsoft Edge and Microsoft Search: Complete tour for IT admins and users","Productivity","Session","Intermediate (200)","Microsoft 365	Operating System 
Microsoft 365
Microsoft 365	Social and Intranet
","Jeremy Chapman
Chuck Friedman
","Microsoft
Microsoft
","microsoft edge and microsoft search: complete tour for it admins and users"
"WRK3035","Hands-on building advanced canvas apps over the Common Data Service","Productivity","Hands-on Session","Advanced (300)","","Greg Lindhorst
","Microsoft PowerApps
","hands-on building advanced canvas apps over the common data service"
"THR2290","IBM, Azure, SAP and You - Reduce Risk, Simplify your move to Azure and a New offering from IBM","Thought Leadership","Partner Led Session","Intermediate (200)","Azure	Databases
Azure
Azure	AI + Machine Learning
Azure	Developer Tools
Azure	Identity
Azure	Analytics
Azure	Management and Governance
Azure	Internet of Things
Azure	Blockchain
Azure	Containers
Azure	Integration
Azure	DevOps 
Azure	Compute
Azure	Microsoft Azure Stack
Azure	Storage
Azure	Web
Azure	Mixed Reality
Azure	Mobile
Azure	Networking
Azure	Media
Azure	Security
Azure	Migration
","Joseph Gallego
Quincy Ticconi
","IBM Services
IBM Microsoft Center of Competency
","ibm, azure, sap and you - reduce risk, simplify your move to azure and a new offering from ibm"
"BRK3328","Leverage compliance capabilities in Microsoft Teams and Yammer","Compliance","Session","Advanced (300)","","Mas Libman
Dhanasekaran Raju
","Microsoft
Microsoft
","leverage compliance capabilities in microsoft teams and yammer"
"THR2311","The art of productivity: Building .NET applications on a mac with Visual Studio for Mac","Development","Session","Intermediate (200)","Tooling & Languages	.NET
Tooling & Languages
","Sayed Hashimi
","Microsoft
","the art of productivity: building .net applications on a mac with visual studio for mac"
"BRK2280","Dynamics 365 Commerce: Clienteling capabilities","Fundamentals","Session","Intermediate (200)","Dynamics 365	Retail and Commerce
Dynamics 365
","Shalabh Jain
","Microsoft
","dynamics 365 commerce: clienteling capabilities"
"BRK2299","Modern work and time management across your organization","Productivity","Hands-on Session","Intermediate (200)","Microsoft 365	Task Management
Microsoft 365
","Sara Al Mughairy
Yash Punjabi
","Microsoft
Microsoft
","modern work and time management across your organization"
"BRK2283","Accelerate your Azure migration with landing zone blueprints","Management","Panel Discussion","Intermediate (200)","","Deepa Athre
Abdul SHEIK
Dean Cefola
","Microsoft
Microsoft
Microsoft
","accelerate your azure migration with landing zone blueprints"
"BRK3284R","Power Platform evolution inc. AI Builder and Portals (Repeat)","Management","Session","Advanced (300)","Power Platform	PowerApps
Power Platform
","Jonathan Hart
","Microsoft
","power platform evolution inc. ai builder and portals (repeat)"
"BRK3292","Sentiment analysis for Yammer posts","Intelligence","Session","Advanced (300)","Microsoft 365	Social and Intranet
Microsoft 365
","Chris Bortlik
","Microsoft
","sentiment analysis for yammer posts"
"BRK3293R2","Live Events for professional event producers – multi-camera; VT; auditorium scenarios (REPEAT)","Productivity","Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Paul Robinson
Alex O'Donnell
","Paul Robinson
Microsoft
","live events for professional event producers – multi-camera; vt; auditorium scenarios (repeat)"
"BRK2271","Identity in the cloud world: A comprehensive tour","Identity","Session","Intermediate (200)","Azure	Identity
Azure
","Jonathan Hart
","Microsoft
","identity in the cloud world: a comprehensive tour"
"THR4009","Microsoft Learn Game Show - attend, learn, and win!","Development","","Expert (400)","","Tolu Akinola
Clay Wesener
Paul Langowski
Frank Weigel
","Microsoft
Microsoft
Microsoft
Microsoft
","microsoft learn game show - attend, learn, and win!"
"HOL2005","Deep learning","Data","Hands-on Labs","Intermediate (200)","Azure	AI + Machine Learning
Azure
","","","deep learning"
"HOL2027","Learn how to perform ongoing risk assessments on your data protection controls – Compliance Manager","Security","Hands-on Labs","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","learn how to perform ongoing risk assessments on your data protection controls – compliance manager"
"","Delivering the modern data warehouse","Data","Session","Intermediate (200)","Azure	Analytics
Azure
Azure	Databases
","","","delivering the modern data warehouse"
"BRK2303","Azure mixed reality services","Intelligence","Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
Azure	Analytics
Azure	Blockchain
Azure	Compute
Azure	Containers
Azure	Databases
Azure	Developer Tools
Azure	DevOps 
Azure	Identity
Azure	Integration
Azure	Internet of Things
Azure	Management and Governance
Azure	Media
Azure	Microsoft Azure Stack
Azure	Migration
Azure	Mobile
Azure	Networking
Azure	Security
Azure	Storage
Azure	Web
","Neena Kamath
","Microsoft
","azure mixed reality services"
"WRK3002","Hands-on with migrating to Azure SQL Database Managed Instance using DMS","Data","Hands-on Session","Advanced (300)","Azure	Databases
Azure
","Venkata Raj Pochiraju
Kirill Glushko
Eqbal Zaffar
","Micrrosoft Corp
Microsoft
Microsoft
","hands-on with migrating to azure sql database managed instance using dms"
"BRK2314","Modernizing your desktop applications to target Windows 10","Tooling","Panel Discussion","Intermediate (200)","","Robert Evans
","Microsoft
","modernizing your desktop applications to target windows 10"
"BRK2311","How augmented/mixed reality can transform the sales to service lifecycle","Intelligence","Hands-on Session","Intermediate (200)","Azure	AI + Machine Learning
Azure
Azure	Analytics
Azure	Blockchain
Azure	Compute
Azure	Containers
Azure	Developer Tools
Azure	DevOps 
Azure	Identity
Azure	Integration
Azure	Internet of Things
Azure	Management and Governance
Azure	Media
Azure	Microsoft Azure Stack
Azure	Migration
Azure	Mixed Reality
Azure	Mobile
Azure	Networking
Azure	Security
Azure	Storage
Azure	Web
","Shannon Monroe
","Microsoft
","how augmented/mixed reality can transform the sales to service lifecycle"
"BRK3304R","Admin experiences across Microsoft 365: Roundtable topics (Repeat)","Tooling","Hands-on Session","Advanced (300)","Microsoft 365	Device and Application Management
Microsoft 365
","Kent Lowry
Tej Gill
Paolo Ciccu
Gabe Frost
Miriam Daniel
Helen Harmetz
Amesh Mansukhani
Venkat Ayyadevara
Shilpa Sinha
Aarti Nankani
Rishabh Agrawal
Beth Prichard
Melissa Martin
Chris Morrissey
Sneha Deo
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft Office
Microsoft
Microsoft
Microsoft

Microsoft
Microsoft
Microsoft
Microsoft
Microsoft Corporation
Microsoft
","admin experiences across microsoft 365: roundtable topics (repeat)"
"BRK2283R","Accelerate your Azure migration with landing zone blueprints (Repeat)","Management","Panel Discussion","Intermediate (200)","","Deepa Athre
Dean Cefola
Abdul SHEIK
","Microsoft
Microsoft
Microsoft
","accelerate your azure migration with landing zone blueprints (repeat)"
"BRK2365","Dynamics 365 Fraud Protection: Strong fraud protection boosts your e-commerce revenue","Fundamentals","Session","Intermediate (200)","Dynamics 365	Fraud Protection
Dynamics 365
","Anand Oka
Jay Nanduri
","Microsoft
Microsoft
","dynamics 365 fraud protection: strong fraud protection boosts your e-commerce revenue"
